frames,XGB 4,XGB 2,RF 4,RF 2
0,0.028949348255991936,0.035848140716552734,0.022329873569567393,0.01836598218016422
1,0.01836562156677246,0.004194977693259716,0.016678878559735575,0.00795069001677111
2,0.021913526579737663,0.006700227037072182,0.029453161198111096,0.005901353009168946
3,0.15153145790100098,0.3690039813518524,0.1374818200119225,0.26674651175389563
4,0.05206245556473732,0.07227212935686111,0.06529735691054889,0.07077415316823824
5,0.047625038772821426,0.05011580139398575,0.06668304471504073,0.12012656306877678
6,0.04611921310424805,0.02384476363658905,0.0496973645210634,0.05834272190892465
7,0.021964658051729202,0.013726001605391502,0.026137937723515747,0.01244473267611235
8,0.03522403538227081,0.01970626972615719,0.048705160676594535,0.024314767227583446
9,0.013596326112747192,0.0032458824571222067,0.010645853858609935,0.002877294398203033
10,0.013435819186270237,0.000658475502859801,0.010666068473029616,0.0035724305315178702
11,0.016086380928754807,0.01693817414343357,0.021048046144536262,0.00945192109124233
12,0.052747976034879684,0.04614986851811409,0.03335066916962692,0.016123717704484206
13,0.044260554015636444,0.04250077158212662,0.02811234790288588,0.024221306479732533
14,0.023302258923649788,0.0018224474042654037,0.02624584749767612,0.005459806324195102
15,0.02212148904800415,0.005284217186272144,0.04779636631160809,0.052762142954141285
16,0.033330392092466354,0.013818618841469288,0.04172439750618147,0.029908227805737528
17,0.029525747522711754,0.026370877400040627,0.03693622432118821,0.02163335229321662
18,0.018252598121762276,0.005839168094098568,0.024941597288675,0.011935202820254901
19,0.0247303768992424,0.011238059028983116,0.029536400251992934,0.018723342167965153
20,0.04983644559979439,0.07095115631818771,0.04106186867353125,0.03343563191894594
21,0.07174531370401382,0.0672425851225853,0.06703806642053466,0.06985663541954394
22,0.10385211557149887,0.041812870651483536,0.06323532572648613,0.07064281612502257
23,0.059420764446258545,0.05071456730365753,0.05519632256733783,0.044428696956161584
